2|1|346364|9
2|36|375366|7
2|44|406563|10
2|49|282035|6
2|53|393345|6
2|77|408268|6
2|83|440021|7
2|7|374720|8
2|18|245891|7
2|24|254128|6
2|70|135397|4
2|10|321612|2
2|144|372058|1
2|175|313369|2
3|125|419430|7
3|138|397243|9
3|162|158015|8
3|168|138843|10
3|184|72190|7
3|188|381283|8
3|200|381288|7
3|147|287424|7
3|1|346364|9
3|83|440021|7
3|84|50620|3
3|114|24021|2
3|11|399055|4
3|52|216015|3
3|10|321612|3
3|54|398818|4
3|16|211672|9
3|19|284053|10
3|20|343668|8
3|45|315635|9
3|48|390043|8
4|1577|259693|3
4|10|321612|9
4|52|216015|7
4|84|50620|8
4|114|24021|8
4|136|50619|9
4|146|8966|8
4|8817|8966|8
4|8966|8966|8
4|172|18239|9
